date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:33:16	109/109	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Oct%202022%2017:33:16%20GMT	https://futbolparatodos.online/robots.txt		(from )
14:33:16	89243/89243	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Oct%202022%2017:33:17%20GMT	https://futbolparatodos.online/es/	C:/Mis%20lugares%20Web/futbol/futbolparatodos.online/es/index.html	(from )
14:33:17	6275/6275	U-----	200	untouched ('')	application/javascript	etag:W/%226309a3ed-1883%22	https://futbolparatodos.online/wp-content/plugins/w3-total-cache/pub/js/lazyload.min.js?x14207	C:/Mis%20lugares%20Web/futbol/futbolparatodos.online/wp-content/plugins/w3-total-cache/pub/js/lazyload.min4581.js	(from https://futbolparatodos.online/es/)
14:33:17	23457/23457	---MCZ	200	added ('OK')	application/json	date:Tue,%2025%20Oct%202022%2017:33:18%20GMT	https://futbolparatodos.online/es/wp-json/wp/v2/pages/17	C:/Mis%20lugares%20Web/futbol/futbolparatodos.online/es/wp-json/wp/v2/pages/17.json	(from https://futbolparatodos.online/es/)
14:33:17	88932/88932	U-----	200	untouched ('OK')	text/css	etag:W/%2262ce6a91-15b64%22	https://futbolparatodos.online/wp-includes/css/dist/block-library/style.min.css?x14207	C:/Mis%20lugares%20Web/futbol/futbolparatodos.online/wp-includes/css/dist/block-library/style.min4581.css	(from https://futbolparatodos.online/es/)
14:33:17	21734/21734	---MCZ	200	added ('OK')	application/rss+xml	etag:%22861f0911aa2a15bda79558b38a2510f3%22	https://futbolparatodos.online/es/feed/	C:/Mis%20lugares%20Web/futbol/futbolparatodos.online/es/feed/index.html	(from https://futbolparatodos.online/es/)
14:33:17	184/184	U-----	200	untouched ('OK')	text/css	etag:W/%2263221c20-b8%22	https://futbolparatodos.online/wp-content/plugins/quick-adsense-reloaded/includes/gutenberg/dist/blocks.style.build.css?x14207	C:/Mis%20lugares%20Web/futbol/futbolparatodos.online/wp-content/plugins/quick-adsense-reloaded/includes/gutenberg/dist/blocks.style.build4581.css	(from https://futbolparatodos.online/es/)
14:33:18	94393/94393	U-----	200	untouched ('OK')	text/css	etag:W/%226309a475-170b9%22	https://futbolparatodos.online/wp-content/themes/hueman/assets/front/css/main.min.css?x14207	C:/Mis%20lugares%20Web/futbol/futbolparatodos.online/wp-content/themes/hueman/assets/front/css/main.min4581.css	(from https://futbolparatodos.online/es/)
14:33:18	2848/2848	---MCZ	200	added ('OK')	application/json	date:Tue,%2025%20Oct%202022%2017:33:19%20GMT	https://futbolparatodos.online/es/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ffutbolparatodos.online%2Fes%2F	C:/Mis%20lugares%20Web/futbol/futbolparatodos.online/es/wp-json/oembed/1.0/embed825c.json	(from https://futbolparatodos.online/es/)
14:33:18	1297/1297	---MCZ	200	added ('OK')	application/rss+xml	etag:%2297f4407cd12f0847ae8bc4198b5b6aae%22	https://futbolparatodos.online/es/comments/feed/	C:/Mis%20lugares%20Web/futbol/futbolparatodos.online/es/comments/feed/index.html	(from https://futbolparatodos.online/es/)
14:33:18	76440/76440	U-----	200	untouched ('')	image/jpeg	etag:%2260e668c4-12a98%22	https://futbolparatodos.online/wp-content/uploads/2021/03/paso-a-deportista-profesion.jpg	C:/Mis%20lugares%20Web/futbol/futbolparatodos.online/wp-content/uploads/2021/03/paso-a-deportista-profesion.jpg	(from https://futbolparatodos.online/es/)
14:33:18	38944/38944	U-----	200	untouched ('')	application/javascript	etag:W/%226100cde9-9820%22	https://futbolparatodos.online/wp-content/themes/hueman/assets/front/js/libs/mobile-detect.min.js?x14207	C:/Mis%20lugares%20Web/futbol/futbolparatodos.online/wp-content/themes/hueman/assets/front/js/libs/mobile-detect.min4581.js	(from https://futbolparatodos.online/es/)
14:33:18	89521/89521	U-----	200	untouched ('')	application/javascript	etag:W/%2260f7b0cb-15db1%22	https://futbolparatodos.online/wp-includes/js/jquery/jquery.min.js?x14207	C:/Mis%20lugares%20Web/futbol/futbolparatodos.online/wp-includes/js/jquery/jquery.min4581.js	(from https://futbolparatodos.online/es/)
14:33:18	3293/3293	---MCZ	200	added ('OK')	text/xml	date:Tue,%2025%20Oct%202022%2017:33:19%20GMT	https://futbolparatodos.online/es/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ffutbolparatodos.online%2Fes%2F&format=xml	C:/Mis%20lugares%20Web/futbol/futbolparatodos.online/es/wp-json/oembed/1.0/embed9b03	(from https://futbolparatodos.online/es/)
14:33:19	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Oct%202022%2017:33:19%20GMT	https://superligafutbol.com/wp-content/uploads/2020/10/11.png	C:/Mis%20lugares%20Web/futbol/superligafutbol.com/wp-content/uploads/2020/10/11.f.delayed	(from https://futbolparatodos.online/es/)
14:33:23	209546/209546	---MCZ	200	added ('OK')	application/json	date:Tue,%2025%20Oct%202022%2017:33:21%20GMT	https://futbolparatodos.online/es/wp-json/	C:/Mis%20lugares%20Web/futbol/futbolparatodos.online/es/wp-json/index.html	(from https://futbolparatodos.online/es/)
14:33:50	11224/11224	U-----	200	untouched ('')	application/javascript	etag:W/%22603e9fb9-2bd8%22	https://futbolparatodos.online/wp-includes/js/jquery/jquery-migrate.min.js?x14207	C:/Mis%20lugares%20Web/futbol/futbolparatodos.online/wp-includes/js/jquery/jquery-migrate.min4581.js	(from https://futbolparatodos.online/es/)
14:34:52	411/411	U-----	200	untouched ('')	image/jpeg	etag:%226112a446-19b%22	https://futbolparatodos.online/wp-content/uploads/2021/03/cropped-logo-1-32x32.jpg?x14207	C:/Mis%20lugares%20Web/futbol/futbolparatodos.online/wp-content/uploads/2021/03/cropped-logo-1-32x324581.jpg	(from https://futbolparatodos.online/es/)
14:34:52	3049/3049	U-----	200	untouched ('')	image/jpeg	etag:%226112a446-be9%22	https://futbolparatodos.online/wp-content/uploads/2021/03/cropped-logo-1-192x192.jpg?x14207	C:/Mis%20lugares%20Web/futbol/futbolparatodos.online/wp-content/uploads/2021/03/cropped-logo-1-192x1924581.jpg	(from https://futbolparatodos.online/es/)
14:34:56	2879/2879	U-----	200	untouched ('')	image/jpeg	etag:%226112a446-b3f%22	https://futbolparatodos.online/wp-content/uploads/2021/03/cropped-logo-1-180x180.jpg?x14207	C:/Mis%20lugares%20Web/futbol/futbolparatodos.online/wp-content/uploads/2021/03/cropped-logo-1-180x1804581.jpg	(from https://futbolparatodos.online/es/)
14:34:57	80361/80361	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2025%20Oct%202022%2017:34:54%20GMT	https://futbolparatodos.online/es/es/	C:/Mis%20lugares%20Web/futbol/futbolparatodos.online/es/es/index.html	(from https://futbolparatodos.online/es/)
14:34:57	171614/171614	U--M--	200	updated ('OK')	text/javascript	etag:1041869519414690670	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-0201943369459788	C:/Mis%20lugares%20Web/futbol/pagead2.googlesyndication.com/pagead/js/fa002.txt	(from https://futbolparatodos.online/es/)
14:34:57	326/326	U-----	200	untouched ('')	image/png	etag:%225b296fd3-146%22	https://futbolparatodos.net/wp-content/uploads/2018/06/playmini.png	C:/Mis%20lugares%20Web/futbol/futbolparatodos.net/wp-content/uploads/2018/06/playmini.png	(from https://futbolparatodos.online/es/)
