date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:32:27	80360/80360	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Oct%202022%2017:30:27%20GMT	https://futbolparatodos.online/es/es/	C:/Mis%20lugares%20Web/Futbol/futbolparatodos.online/es/es/index.html	(from )
14:32:27	109/109	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Oct%202022%2017:32:28%20GMT	https://futbolparatodos.online/robots.txt		(from )
14:32:27	6275/6275	---MCZ	200	added ('OK')	application/javascript	etag:W/%226309a3ed-1883%22	https://futbolparatodos.online/wp-content/plugins/w3-total-cache/pub/js/lazyload.min.js?x14207	C:/Mis%20lugares%20Web/Futbol/futbolparatodos.online/wp-content/plugins/w3-total-cache/pub/js/lazyload.min4581.js	(from https://futbolparatodos.online/es/es/)
14:32:28	88932/88932	---MCZ	200	added ('OK')	text/css	etag:W/%2262ce6a91-15b64%22	https://futbolparatodos.online/wp-includes/css/dist/block-library/style.min.css?x14207	C:/Mis%20lugares%20Web/Futbol/futbolparatodos.online/wp-includes/css/dist/block-library/style.min4581.css	(from https://futbolparatodos.online/es/es/)
14:32:28	184/184	---MCZ	200	added ('OK')	text/css	etag:W/%2263221c20-b8%22	https://futbolparatodos.online/wp-content/plugins/quick-adsense-reloaded/includes/gutenberg/dist/blocks.style.build.css?x14207	C:/Mis%20lugares%20Web/Futbol/futbolparatodos.online/wp-content/plugins/quick-adsense-reloaded/includes/gutenberg/dist/blocks.style.build4581.css	(from https://futbolparatodos.online/es/es/)
14:32:28	94393/94393	---MCZ	200	added ('OK')	text/css	etag:W/%226309a475-170b9%22	https://futbolparatodos.online/wp-content/themes/hueman/assets/front/css/main.min.css?x14207	C:/Mis%20lugares%20Web/Futbol/futbolparatodos.online/wp-content/themes/hueman/assets/front/css/main.min4581.css	(from https://futbolparatodos.online/es/es/)
14:32:28	76440/76440	---M--	200	added ('OK')	image/jpeg	etag:%2260e668c4-12a98%22	https://futbolparatodos.online/wp-content/uploads/2021/03/paso-a-deportista-profesion.jpg	C:/Mis%20lugares%20Web/Futbol/futbolparatodos.online/wp-content/uploads/2021/03/paso-a-deportista-profesion.jpg	(from https://futbolparatodos.online/es/es/)
14:32:28	38944/38944	---MCZ	200	added ('OK')	application/javascript	etag:W/%226100cde9-9820%22	https://futbolparatodos.online/wp-content/themes/hueman/assets/front/js/libs/mobile-detect.min.js?x14207	C:/Mis%20lugares%20Web/Futbol/futbolparatodos.online/wp-content/themes/hueman/assets/front/js/libs/mobile-detect.min4581.js	(from https://futbolparatodos.online/es/es/)
14:32:28	89521/89521	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260f7b0cb-15db1%22	https://futbolparatodos.online/wp-includes/js/jquery/jquery.min.js?x14207	C:/Mis%20lugares%20Web/Futbol/futbolparatodos.online/wp-includes/js/jquery/jquery.min4581.js	(from https://futbolparatodos.online/es/es/)
14:32:29	11224/11224	---MCZ	200	added ('OK')	application/javascript	etag:W/%22603e9fb9-2bd8%22	https://futbolparatodos.online/wp-includes/js/jquery/jquery-migrate.min.js?x14207	C:/Mis%20lugares%20Web/Futbol/futbolparatodos.online/wp-includes/js/jquery/jquery-migrate.min4581.js	(from https://futbolparatodos.online/es/es/)
